[03:25:04] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:25:06] [ServerMain/INFO]: Loaded 7 recipes
[03:25:06] [ServerMain/INFO]: Loaded 1271 advancements
[03:25:07] [Server thread/INFO]: Starting minecraft server version 1.20.1
[03:25:07] [Server thread/INFO]: Loading properties
[03:25:07] [Server thread/INFO]: Default game type: SURVIVAL
[03:25:07] [Server thread/INFO]: Generating keypair
[03:25:07] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:25:07] [Server thread/INFO]: Using epoll channel type
[03:25:08] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:25:08] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:25:08] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:25:08] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:25:08] [Server thread/INFO]: Preparing level "world"
[03:25:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:26:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:26:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:26:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:26:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:26:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:26:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:26:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:26:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:26:04] [Worker-Main-1/INFO]: Preparing spawn area: 11%
[03:26:04] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[03:26:05] [Worker-Main-1/INFO]: Preparing spawn area: 33%
[03:26:06] [Server thread/INFO]: Time elapsed: 46296 ms
[03:26:06] [Server thread/INFO]: Done (58.698s)! For help, type "help"
